questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
25005,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English",Pohnpeian,Pohnpeian
55062,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
63741,Pohnpeian,1,"English,Chuukese",2,,0,Pohnpeian,0,Pohnpeian,0,Carolinian,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,"Pohnpeian,English",Pohnpeian
38575,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
42584,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
48355,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,"Japanese,English","Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
44205,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Japanese,"Pohnpeian,English",Bilingual,English,English,English,"Pohnpeian,Meing","Pohnpeian,Meing",English,"Pohnpeian,Meing","Pohnpeian,Meing",Pohnpeian
30121,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
22269,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,"English,Japanese",Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
17625,Pohnpeian,1,,0,English,1,"Ngatikese,Pohnpeian",0,"Pohnpeian,Japanese",0,English,Pohnpeian,Non-English,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English","Pohnpeian,English",Pohnpeian,Pohnpeian
46061,Pohnpeian,1,Pingelapese,1,English,1,"Pohnpeian,Pingelapese",0,Pohnpeian,0,"English,Japanese","Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
17596,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,"English,Japanese","Pohnpeian,English",Bilingual,,None,,,,,,,
