questionnaire_id,age,sex,birth_location,home_island,home_village,citizenship,current_muni,current_village,time_fsm,time_pni,pni_current_place,travelled_abroad,travel_location,education,elementary_type,hs_type,children,occupation,occupation_mother,occupation_father,mother_islandvill,father_islandvill,lang1,lang_well,lang_little,meing,lang_mother,lang_father,lang_children,lang_better,elem_lang,hs_lang,lang_college,family_lang,friends_lang,foreign_lang,word_lang,school_lang,home_lang,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_eng,youths_bad_pni,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,quiet,stupid,loud,kindhearted,feminine,masculine,honest,modern,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,desc_pni,desc_eng
11,25 -- 34,Male,US Mainland,,,USA,Sokehs,"Palikir, Nan takai",10 - 19 years,10 - 19 years,0 - 4 years,Yes,,"High school, diploma, or GED",Public school,Private school,3,Graphic Design/Media,Bookkeeper,Media,,,English,Pohnpeian,Spanish,Somewhat well,English,English,Pohnpeian and English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian mix English,English,Pohnpeian/English,,English/Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,3,4,1,2,1,1,"Basic, simple, important, cultured","Tricky, complicated, important, fun"
12,35 -- 44,Male,Pohnpei State,Pohnpei,Palikir,FSM,Sokehs,Ipat Nett,40 or more years,40 or more years,20 - 29 years,Yes,"USA, China, Japan, Australia, New Zealand and Pacific Island Countries",Bachelor's degree,Public school,Public school,4,Civil Servant,Shop Owner,Local Judge,Palikir,Palikir,Pohnpeian,English and Japanese,Kosraen ,Well,Pohnpeian,Pohnpeian,English and Chinese,Chinese,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,English,English,English,English,English,English,English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,1,1,1,3,3,3,3,3,3,3,3,1,2,1,2,2,1,2,3,3,3,3,2,3,3,1,"Cultured, Identity, Roots, Proud and family","Business, international, Government, Modern & western"
13,18 -- 24,Male,Pohnpei State,Pohnpei,Nett,FSM,Nett,Nett,20 - 29 years,20 - 29 years,20 - 29 years,Yes,"Hawaii,Oregon,Texas,Washington",Associate degree,Private school,Private school,0,Chef,Self,Self,Mortlocks,"Pohnpei,Nett",English,English,"Japanese,Kosrae,Pingelap,Chuukese",Somewhat well,"English,Pohnpei","English,Pohnpei","English,Pohnpei",All,English,English,English,"English,Pohnpei ",Mix,English,Mix,Mix,Mix,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,3,1,3,4,1,3,3,3,3,3,3,1,1,1,1,1,1,1,4,3,3,3,4,3,3,4,"Vital,Identifying,Cultural,SelfKnowledge,Corrupted","BastardLanguage,Simplified,Unconscious"
14,35 -- 44,Male,US Mainland,,,USA,Uh,Awak Pah U,10 - 19 years,10 - 19 years,0 - 4 years,Yes,"Thailand, Hong Kong, Costa Rica, Singapore, England, Ireland all for about two weeks each. ",Bachelor's degree,Public school,Public school,1,Preacher,Saleswoman ,Painter,,,English,Pohnpeian,"Spanish, Kosraean ",Somewhat well,Engish,English,"English , Spanish",Spanish and French,Enlgish,English,English,English,Pohnpeian and English,English,Pohnpeian,,English,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,2,1,2,3,2,2,3,3,3,3,3,1,1,1,1,1,1,3,4,3,2,3,1,3,3,1,"Kaperen, ahpwal, kaselel, sawas, useful","useful, convenient, universal, complex, native"
15,45 -- 54,Male,US Mainland,n/a,n/a,USA,Nett,kolonia,10 - 19 years,10 - 19 years,5 - 9 years,Yes,Japan,Master's degree,Public school,Public school,0,teacher,homemaker,minister,n/a,n/a,english,none,spanish,Not at all,english,english,I don't care,pohnpeian,english,english,english,english,english,english,english,english,english,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,English,English,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,3,1,1,3,1,1,3,3,4,3,2,2,3,2,3,2,1,1,4,3,3,3,1,4,4,1,don't really know,"confusing, precise,low context,useful,global"
16,25 -- 34,Female,US Mainland,N/A,N/A,USA,Nett,Kolonia,0 - 4 years,0 - 4 years,0 - 4 years,Yes,"USA (homeland), Western Europe, (1 year) Madagascar (2 weeks), Reunion Island (6 mos.)","Professional degree (JD, MD, etc.)",Private school,Public school,0,Attorney,Homemaker,Manager - Power Plant ,USA ,USA,English,French,"Spanish, Russian, Pohnpeian",Not at all,English,English,N/A,"Russian, Pohnpeian",English,"English, French","English, French ",English,"English, French ","English, French, Spanish","English, Pohnpeian",N/A,English,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,3,1,1,3,3,3,3,2,3,2,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,"Complex, fun, unique, interesting, soft","Utilitarian, plain, useful, successful, flexible"
17,25 -- 34,Female,US Mainland,N/A,N/A,USA,Nett,Kolonia,0 - 4 years,0 - 4 years,0 - 4 years,Yes,"Germany (4 months), Caribbean, Mexico, Canada",Bachelor's degree,Public school,Public school,0,Director of Student Life - COM,Travel Agent,Carpenter,USA - Vermont,USA - Philadelphia,English,German,"Pohnpeian, Spanish",Not at all,English,English,English & Others,"Pohnpeian, Spanish",English,English,English,English,English & Pohnpeian,English,English & Pohnpeian ,English,English,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Other,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,3,1,2,3,1,1,3,2,2,3,3,2,2,2,2,2,1,4,4,4,4,4,1,3,3,1,"difficult, friendly, inviting, open, cultural","universal, professional, educated, privileged, pretentious"
18,25 -- 34,Female,US Mainland,USA,USA,USA,Madolenihmw,Wapar,10 - 19 years,10 - 19 years,5 - 9 years,Yes,travel once a month for work and lived internationally pior to moving to pohnpei,Master's degree,Private school,Private school,1,Conservation manger,Artist (retired),lawyer (Retired),USA,USA,English,,"Pohnpeian, Swahili, Spanish",Not at all,one,one,,more than two (they seak english and Pohnpeian already),english,englsih,english,english and Pohnpeian,english,english,english and Pohnpeian,,english and pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,3,1,2,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,x,x
19,18 -- 24,Female,Pohnpei State,Pohnpei,Madolenihmw,FSM,Madolenihmw,Madolenihmw,10 - 19 years,10 - 19 years,10 - 19 years,Yes,Japan-2 months,"High school, diploma, or GED",Public school,Private school,0,N/A,,Supevisor nurse,Mwoakiloa,Madolenihmw,Pohbepeian,"Mwokilese,English",,Somewhat well,Mwokilese,Pohnepeian,Both,Chuukese,Pohnepeian and English,English,English,Pohnpeian and mwokilese,Pohnepeian,English,,,All,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,2,2,1,3,2,2,3,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,2,3,3,2,"Respecful,humble,kind,soft,tender","Helpful,handy,grammer,study,hard"
20,35 -- 44,Male,Chuuk State,Fonoton,Sopota,FSM,Sokehs,Nahnpolman,20 - 29 years,5 - 9 years,0 - 4 years,Yes,Las Vegas for 3 months,"Professional degree (JD, MD, etc.)",Public school,Private school,3,Attorney,Cashier,Diplomat,"Fonoton, Sopota","Uman, Mwanukun",Chuukese,English,none,Not at all,Chuukese and English,Chuukese and English,"Chuukese, English, Pohnpeian",Pohnpeian,English,English,English,Chuukese and English,English,English,English,English,Chuukese,English,English,English,Chuukese,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Chuukese,English,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,1,1,1,3,1,1,3,3,3,1,3,1,1,1,1,1,1,1,3,3,1,3,1,3,3,1,"respectful, fast, smooth, direct, soft","direct, loud, hard to learn, clear, open"
